# vis: 4th_split
# correlation: YY
# channel average: 2048
# time average: 300s
# baseline average: True
# spw average: True
# From plot 0
# x y chan scan field ant1 ant2 ant1name ant2name time freq spw corr obs
# Time Real None None None None None None None MJD(seconds) GHz None None None
5067871209.931 -6.39885e-05 0 18 0 -1 -1 * * 5067871209.931 2.100499239 0 YY 0
5067871659.929 7.41172e-05 0 18 0 -1 -1 * * 5067871659.929 2.100499224 0 YY 0
5067872109.930 3.4255e-05 0 18 0 -1 -1 * * 5067872109.930 2.100499197 0 YY 0
5067872559.931 0.000193483 0 18 0 -1 -1 * * 5067872559.931 2.100499184 0 YY 0
5067872989.929 -2.01856e-05 0 19 0 -1 -1 * * 5067872989.929 2.100499166 0 YY 0
5067873439.930 -2.86628e-05 0 19 0 -1 -1 * * 5067873439.930 2.100499142 0 YY 0
5067873889.929 0.000407739 0 19 0 -1 -1 * * 5067873889.929 2.100499131 0 YY 0
5067874339.929 -0.000143954 0 19 0 -1 -1 * * 5067874339.929 2.100499110 0 YY 0
5067875069.930 0.000210569 0 20 0 -1 -1 * * 5067875069.930 2.100499086 0 YY 0
5067875669.930 0.000209411 0 20 0 -1 -1 * * 5067875669.930 2.100499068 0 YY 0
5067876119.928 0.000113672 0 20 0 -1 -1 * * 5067876119.928 2.100499060 0 YY 0
5067876419.930 4.93094e-05 0 20 0 -1 -1 * * 5067876419.930 2.100499053 0 YY 0
5067876849.929 0.000157103 0 21 0 -1 -1 * * 5067876849.929 2.100499043 0 YY 0
5067877299.930 -2.70491e-05 0 21 0 -1 -1 * * 5067877299.930 2.100499030 0 YY 0
5067877899.930 -5.89202e-05 0 21 0 -1 -1 * * 5067877899.930 2.100499019 0 YY 0
5067878349.931 0.000156034 0 21 0 -1 -1 * * 5067878349.931 2.100499015 0 YY 0
5067878779.924 4.82641e-05 0 22 0 -1 -1 * * 5067878779.924 2.100499009 0 YY 0
5067879229.928 8.0383e-05 0 22 0 -1 -1 * * 5067879229.928 2.100499002 0 YY 0
5067879829.931 4.5146e-05 0 22 0 -1 -1 * * 5067879829.931 2.100498998 0 YY 0
5067880279.929 3.99369e-05 0 22 0 -1 -1 * * 5067880279.929 2.100498996 0 YY 0
5067880824.932 0.000297888 0 23 0 -1 -1 * * 5067880824.932 2.100498994 0 YY 0
