# vis: 4th_split
# correlation: YX
# channel average: 2048
# time average: 300s
# baseline average: True
# spw average: True
# From plot 0
# x y chan scan field ant1 ant2 ant1name ant2name time freq spw corr obs
# Time Imag None None None None None None None MJD(seconds) GHz None None None
5067871209.931 -3.59766e-05 0 18 0 -1 -1 * * 5067871209.931 2.100499239 0 YX 0
5067871659.929 -0.000204249 0 18 0 -1 -1 * * 5067871659.929 2.100499224 0 YX 0
5067872109.930 6.80153e-05 0 18 0 -1 -1 * * 5067872109.930 2.100499197 0 YX 0
5067872559.931 -0.00026138 0 18 0 -1 -1 * * 5067872559.931 2.100499184 0 YX 0
5067872989.929 4.26727e-05 0 19 0 -1 -1 * * 5067872989.929 2.100499166 0 YX 0
5067873439.930 7.91547e-05 0 19 0 -1 -1 * * 5067873439.930 2.100499142 0 YX 0
5067873889.929 -1.21026e-05 0 19 0 -1 -1 * * 5067873889.929 2.100499131 0 YX 0
5067874339.929 -8.81523e-06 0 19 0 -1 -1 * * 5067874339.929 2.100499110 0 YX 0
5067875069.930 8.118e-05 0 20 0 -1 -1 * * 5067875069.930 2.100499086 0 YX 0
5067875669.930 2.72358e-05 0 20 0 -1 -1 * * 5067875669.930 2.100499068 0 YX 0
5067876119.928 8.75964e-05 0 20 0 -1 -1 * * 5067876119.928 2.100499060 0 YX 0
5067876419.930 -0.000217256 0 20 0 -1 -1 * * 5067876419.930 2.100499053 0 YX 0
5067876849.929 4.09257e-05 0 21 0 -1 -1 * * 5067876849.929 2.100499043 0 YX 0
5067877299.930 1.89315e-05 0 21 0 -1 -1 * * 5067877299.930 2.100499030 0 YX 0
5067877899.930 -0.000159189 0 21 0 -1 -1 * * 5067877899.930 2.100499019 0 YX 0
5067878349.931 -0.000264054 0 21 0 -1 -1 * * 5067878349.931 2.100499015 0 YX 0
5067878779.924 -0.000102368 0 22 0 -1 -1 * * 5067878779.924 2.100499009 0 YX 0
5067879229.928 -4.09984e-06 0 22 0 -1 -1 * * 5067879229.928 2.100499002 0 YX 0
5067879829.931 -0.000114811 0 22 0 -1 -1 * * 5067879829.931 2.100498998 0 YX 0
5067880279.929 -0.000167009 0 22 0 -1 -1 * * 5067880279.929 2.100498996 0 YX 0
5067880824.932 -2.20396e-05 0 23 0 -1 -1 * * 5067880824.932 2.100498994 0 YX 0
