# vis: 4th_split
# correlation: XX
# channel average: 2048
# time average: 300s
# baseline average: True
# spw average: True
# From plot 0
# x y chan scan field ant1 ant2 ant1name ant2name time freq spw corr obs
# Time Real None None None None None None None MJD(seconds) GHz None None None
5067871209.931 -4.85346e-05 0 18 0 -1 -1 * * 5067871209.931 2.100499239 0 XX 0
5067871659.929 0.000131295 0 18 0 -1 -1 * * 5067871659.929 2.100499224 0 XX 0
5067872109.930 -2.95378e-05 0 18 0 -1 -1 * * 5067872109.930 2.100499197 0 XX 0
5067872559.931 -5.8363e-05 0 18 0 -1 -1 * * 5067872559.931 2.100499184 0 XX 0
5067872989.929 2.5581e-05 0 19 0 -1 -1 * * 5067872989.929 2.100499166 0 XX 0
5067873439.930 0.000112774 0 19 0 -1 -1 * * 5067873439.930 2.100499142 0 XX 0
5067873889.929 0.000139953 0 19 0 -1 -1 * * 5067873889.929 2.100499131 0 XX 0
5067874339.929 -2.57826e-05 0 19 0 -1 -1 * * 5067874339.929 2.100499110 0 XX 0
5067875069.930 0.000129183 0 20 0 -1 -1 * * 5067875069.930 2.100499086 0 XX 0
5067875669.930 5.4654e-05 0 20 0 -1 -1 * * 5067875669.930 2.100499068 0 XX 0
5067876119.928 -6.53574e-05 0 20 0 -1 -1 * * 5067876119.928 2.100499060 0 XX 0
5067876419.930 2.745e-05 0 20 0 -1 -1 * * 5067876419.930 2.100499053 0 XX 0
5067876849.929 -0.000118851 0 21 0 -1 -1 * * 5067876849.929 2.100499043 0 XX 0
5067877299.930 -4.60137e-05 0 21 0 -1 -1 * * 5067877299.930 2.100499030 0 XX 0
5067877899.930 -2.94386e-05 0 21 0 -1 -1 * * 5067877899.930 2.100499019 0 XX 0
5067878349.931 8.49859e-05 0 21 0 -1 -1 * * 5067878349.931 2.100499015 0 XX 0
5067878779.924 -0.000131169 0 22 0 -1 -1 * * 5067878779.924 2.100499009 0 XX 0
5067879229.928 0.000150822 0 22 0 -1 -1 * * 5067879229.928 2.100499002 0 XX 0
5067879829.931 0.000207604 0 22 0 -1 -1 * * 5067879829.931 2.100498998 0 XX 0
5067880279.929 0.000247369 0 22 0 -1 -1 * * 5067880279.929 2.100498996 0 XX 0
5067880824.932 4.76206e-05 0 23 0 -1 -1 * * 5067880824.932 2.100498994 0 XX 0
